id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
f2eahd,14.6331584,121.0305706,14.6326169,121.0304337,Scout Tobias Street,tertiary,368,367
f2eahd,14.6331584,121.0305706,14.6336744,121.0306791,Scout Tobias Street,tertiary,368,369
f2eahd,14.6336744,121.0306791,14.6331584,121.0305706,Scout Tobias Street,tertiary,369,368
f2eahd,14.6336744,121.0306791,14.6341993,121.0308009,Scout Tobias Street,tertiary,369,370
f2eahd,14.6341993,121.0308009,14.6349841,121.030983,Scout Tobias Street,tertiary,370,371
f2eahd,14.6341993,121.0308009,14.6336744,121.0306791,Scout Tobias Street,tertiary,370,369
f2eahd,14.6349841,121.030983,14.6341993,121.0308009,Scout Tobias Street,tertiary,371,370
f2eahd,14.6349841,121.030983,14.6357976,121.0311725,Scout Tobias Street,tertiary,371,372
f2eahd,14.6357976,121.0311725,14.6349841,121.030983,Scout Tobias Street,tertiary,372,371
t7o385,14.6357976,121.0311725,14.6353459,121.0332389,Timog Avenue,primary,372,393
ny3npi,14.6310331,121.0233637,14.6312819,121.0222138,Don Alejandro Roces Avenue,secondary,386,8578
ny3npi,14.6305635,121.0255343,14.6310331,121.0233637,Don Alejandro Roces Avenue,secondary,387,386
t7o385,14.6353459,121.0332389,14.6349868,121.0348321,,,393,9869
t7o385,14.6353459,121.0332389,14.6357976,121.0311725,Timog Avenue,primary,393,372
